repo,head_img_url,head_img_src,head_title,head_description,body_description,important_factors,built_with,acknowledgements,product_screenshot,README Complete,laptop,desktop,GHVerified
TenSecondTools,https://github.com/ARMcK-hub/TenSecondTools,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTjUT-Segg89qMGNoobVBXN_VMGYK0he4h5OXNqkpWePjLP7WiK&usqp=CAU,TenSecondTools,Tools to save a second - or ten.,"TenSecondTools is a collaboration of various, small tools to help you on your development journey!",* Too many to list!,"* Various Languages, Frameworks, and Softwares",* Could be you!,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTjUT-Segg89qMGNoobVBXN_VMGYK0he4h5OXNqkpWePjLP7WiK&usqp=CAU,y,y,y,y
UFO-Finder,https://armck-hub.github.io/UFO-Finder/,https://raw.githubusercontent.com/ARMcK-hub/UFO-Finder/master/static/images/nasa.jpg,UFO-Finder,Spotted a UFO? Someone else might have too.,UFO-Finder is a web-based page meant for individuals to track down theirs and other UFO sightings.,"* Collaboration
* Inspiration
* Wonder","* [Bootstrap](https://getbootstrap.com)
* [JavaScript](https://www.javascript.com/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/UFO-Finder/master/static/images/Home_Page.png,y,y,y,y
Capomulin,https://github.com/ARMcK-hub/Capomulin,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRFhalvgCdnR5rvHHuQLcmyRdubdI16_P7HcrG-ypyplP7hNvbh&usqp=CAU,Capomulin,Cancer's Best Chance,"This repository houses a graphical comparison and analysis of cancer treatments.

The drug under investigation is Capomulin, and we would like to see its relative market and overall performance.

A few of the graphical representations that can be viewed in the output_graphs folder are:

Metastatic Spread During Treatment
Survival During Treatment
Tumor Change Over Treatment
Tumor Response
Key observations are located within the Observations.txt file.","* Reducing cases of Cancer
* Saving lives
* Living life to its fullest
* Reducing cost of Cancer treatments and strain on medical institutes","* [Jupyter Notebook](https://jupyter.org/)
* [Matplotlib](https://matplotlib.org/)
* [Pandas](https://pandas.pydata.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/Capomulin/master/Pymaceuticals/Output_Graphs/Tumor%20Response%20to%20Treatment.png,y,y,y,y
School-Games,https://github.com/ARMcK-hub/School-Games,https://www.greenmangaming.com/newsroom/wp-content/uploads/2019/01/runescape-blog.jpg,School-Games,But not Games at School,School-Games is a collaborative analysis repository that houeses an analysis for both purchase data from an Massive Multiplayer Online Roll Playing Game as well as Grade and Student Success at various Schools across districts.,"* More Money
* Loyal Customers
* Better Content
* Smarter Students
* Better Distributed Funding","* [Jupyter Notebook](https://jupyter.org/)
* [Pandas](https://pandas.pydata.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://www.insidehighered.com/sites/default/server_files/styles/large-copy/public/media/grades_1.png?itok=J7dYQznX,y,y,y,y
Banking-On-Elections,https://github.com/ARMcK-hub/Banking-On-Elections,"https://m.economictimes.com/thumb/msid-71487585,width-1200,height-900,resizemode-4,imgsize-169788/bank-getty.jpg",Banking-On-Elections,But not Electing at Banks,"This repository houses data, scripts and output for the following 2 items:

Banking
The Banking project seeks to summarize finanicial profits for a company in a simple analysis of summation
On_Elections
The On_Elections project seeks to summarize the results for a small poll.","* Autonomous Election Analysis
* Summarized Financial Profits","* [Jupyter Notebook](https://jupyter.org/)
* [Pandas](https://pandas.pydata.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://krebsonsecurity.com/wp-content/uploads/2019/07/voting.png,y,y,y,y
Worldly-Weather,https://github.com/ARMcK-hub/Worldly-Weather,https://media.sciencephoto.com/image/c0053522/800wm,Worldly-Weather,Analyzing Weather Around the World,Worldly-Weather is a notebook-based analysis of weather data from around the world.0,"* Where users should and should not desire to live
* Global Climate Issues","* [Jupyter Notebook](https://jupyter.org/)
* [Matplotlib](https://matplotlib.org/)
* [Pandas](https://pandas.pydata.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://raw.githubusercontent.com/ARMcK-hub/Worldly-Weather/master/Output/Latitude%20vs.%20Max%20Temp%20per%20City.png,y,y,y,y
Udemy-DSML,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/learn/lecture/5733564#overview,https://about.udemy.com/wp-content/uploads/2017/10/NewUlogo-large-1.png,Udemy Data Scient Machine Learning Bootcamp,Learn All of the Datas,This repository houses the cirriculum covered and provided by Jose Portilla's DSML course on Udemy.,"* Much Learn
* Career Improved","* Various Languages, Frameworks, and Softwares",* Jose Portilla,https://about.udemy.com/wp-content/uploads/2017/10/NewUlogo-large-1.png,y,y,y,y
Lunar-Laws,https://github.com/ARMcK-hub/Lunar-Laws,https://images.tweaktown.com/news/6/8/68482_01_crime-increase-moon-full.jpg,Lunar Laws,From St. Louis to You,"This repository houses Extract-Transform-Load (ETL) transactions for an ad-hoc lunar and crime analysis.

This project seeks to source data for determining if lunar metrics, such as illumination and phase, impact crime in St. Louis.

The ETL script, Moon_Soup.py, consumes data by webscraping from an online source. The script takes in a pre-merged CSV dataset of another origin, and merges on a date field. Munged data is then injected into a SQL table using SQLAlchemy.",* Easy data injection to new SQL systems,"* [BeatifulSoup4](https://www.crummy.com/software/BeautifulSoup/bs4/doc/)
* [Splinter](https://splinter.readthedocs.io/en/latest/)
* [SQLAlchemy](https://www.sqlalchemy.org/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://www.astera.com/wp-content/uploads/2019/07/ETL-e1563879776366.jpg,y,y,y,y
Employee-DB,https://github.com/ARMcK-hub/Employee-DB,https://www.incimages.com/uploaded_files/image/970x450/getty_690855708_327837.jpg,Employee Database,Basing the Data for all Employees,Employee-DB houses the scripts in order to create a proper relational database using a retailer's employment data.,"* Data Storage
* Data Access
* Relational Information","* [PostgreSQL](https://www.postgresql.org/)
* [Quick Database Diagrams](https://www.quickdatabasediagrams.com/)",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://miro.medium.com/max/800/1*PY24xlr4TpOkXW04HUoqrQ.jpeg,y,y,y,y
D3-Times,https://armck-hub.github.io/D3-Times/,https://images-na.ssl-images-amazon.com/images/I/41sa7YauzhL._SY445_.jpg,D3-Times,Up-to-Date on Lorum Ipsum,D3-Time is a Lorum Ipsum example of utilizing D3 for custom-made visualizations.,"* Custom Visuals
* Precise Stories",* [d3](https://d3js.org/),* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://images-na.ssl-images-amazon.com/images/I/41sa7YauzhL._SY445_.jpg,y,y,y,y
SmartMeters,https://github.com/ARMcK-hub/SmartMeters,https://financialtribune.com/sites/default/files/styles/telegram/public/03_faham_0.jpg?itok=2o4bxq1g,Smart Meters,Analyzing Eletricity Meter Data,Smart Meters is an analysis of electrical grid meter usage. Identifying key usage areas and times in order to better serve your utility business and customers.,"* Decreased Loading Variation on Grid
* Improved Staffing and Operational Timing
* Reduced Waste Energy","* [Jupyter Notebook](https://jupyter.org/)
* [Matplotlib](https://matplotlib.org/)
* [Pandas](https://pandas.pydata.org/)",* Hansaliya,https://financialtribune.com/sites/default/files/styles/telegram/public/03_faham_0.jpg?itok=2o4bxq1g,y,y,y,y
Stock-Spreadsheets,https://github.com/ARMcK-hub/Stock-Spreadsheets,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Microsoft_Excel_2013_logo.svg/1043px-Microsoft_Excel_2013_logo.svg.png,Stock-Spreadsheets,Finding the Diamond in the Rough,Stock-Spreadsheets is an Excel evaluation of various stocks based on their historical performance.,* Money. Automated.,* [Excel](https://www.microsoft.com/en-us/microsoft-365/excel),* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Microsoft_Excel_2013_logo.svg/1043px-Microsoft_Excel_2013_logo.svg.png,y,y,y,y
sandbox,https://github.com/ARMcK-hub/sandbox,https://logodix.com/logo/2159080.png,ARMcK-hub Sandbox,Where we dig deep and play in the sand.,"This repository is meant for testing and validation purposes only for various reasons and for whatever I feel like at the time.

If you're reading this, it means that something on GitHub's side has gone wrong!","* Much Dig
* Much Sand","* Box
* Sand
* Unicorn Tears",* Jeff,https://logodix.com/logo/2159080.png,y,y,y,y
VUDABC,https://vanderbilt.bootcampcontent.com/vanderbilt_coding_bootcamp/VU-NSH-DATA-PT-10-2019-U-C,https://cdn.nashvillepost.com/files/base/scomm/nvp/image/2019/06/16x9/640w/Logo_Vanderbilt.5cff0f798ac33.jpg,Vanderbilt University Data Analytics Bootcamp,Bootcamp Repository,This repository houses all of the updated lessons and information distributed during the Fall 2019 VUDABC.,* Ease of finding and managing critical DS tools,"* Various Languages, Frameworks, and Softwares",* [Vanderbilt University - powered by Trilogy](https://bootcamps.vanderbilt.edu/data/),https://cdn.nashvillepost.com/files/base/scomm/nvp/image/2019/06/16x9/640w/Logo_Vanderbilt.5cff0f798ac33.jpg,y,y,y,y
Mail-To-Me,https://mailtome.herokuapp.com/,https://www.pngkit.com/png/full/167-1671480_envelope-clipart-picture-envelope-clip-art.png,Mail-To-Me,Mail Handler Web Application for HTML Forms,Mail-To-Me is a HTML Form handler hosted on Heroku. Its Flask-driven infrastructure listens for Form Submissions and redirects the information to the receiving email designated in the Form Submission Data Packet. Forms can come from anywhere and be redirected to anyone! This gives flexibility and ease of use when using contact forms on static websites – like GitHub Pages! Feel free to give it a try by navigating to the Demo @ Demo-To-Me!,* Offers an easy solution to using Contact Forms on static web pages,"* Flask, Heroku, HTML, CSS, BootStrap, Python",* Traverse Media on YouTube,https://armck-hub.github.io/images/mailtome.png,y,n,y,y
Demo-To-Me,https://armck-hub.github.io/Demo-To-Me/,https://www.netclipart.com/pp/m/248-2482721_overview-clipart-evaluation-form-evaluation-forms-clip-art.png,Demo-To-Me,Demo Form for Mail-To-Me,"Demo-To-Me is a stand-alone, static Web Form, giving you the ability to test out the Mail-To-Me application! Feel free to input your receiving email address and watch your message arrive within seconds. Please use responsibly.",* Allows for you to test out our Mail-To-Me application – Easy!,"* HTML, CSS, BootStrap",* Traverse Media on YouTube,https://armck-hub.github.io/images/mailtome.png,y,n,y,y
